"modifierId","fieldName","valueType","requiredForExactMatch","version"
"LATERALITY","laterality","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"EXTERNALLOADTYPE","externalLoadType","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"ADDITIONALEXTERNALLOADFRACTIONBW","additionalExternalLoadFractionBw","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"TOTALSYSTEMMASSFRACTIONBW","totalSystemMassFractionBw","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"RELATIVELOADPERCENT1RM","relativeLoadPercent1Rm","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"EXTERNALLOADPLACEMENT","externalLoadPlacement","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"ROMBAND","romBand","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"MOVEMENTVELOCITY","movementVelocity","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"IMPACTTYPE","impactType","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"LANDINGSTRATEGY","landingStrategy","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"REBOUNDORSTICK","reboundOrStick","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"REARFOOTELEVATION","rearFootElevation","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"DIRECTION","direction","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"DROPHEIGHT","dropHeight","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"SURFACE","surface","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"EXPECTEDORUNEXPECTEDPERTURBATION","expectedOrUnexpectedPerturbation","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"KNEEANGLECONDITION","kneeAngleCondition","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
"ANKLEANGLECONDITION","ankleAngleCondition","STRUCTURED_SOURCE_CONDITION","false","1.0.0"
