"RecordType","Id","Result","Field","BlankCount","PlaceholderCount","Detail"
"CHECK","CLASS-001","PASS","","","","Row count: 215"
"CHECK","CLASS-002","PASS","","","","Duplicate stableKey: 0"
"CHECK","CLASS-003","PASS","","","","Unsafe rows: 0"
"CHECK","CLASS-004","PASS","","","","Replacement queue: 0"
"CHECK","CLASS-005","PASS","","","","Human source review: 0"
"CHECK","CLASS-006","PASS","","","","No replacement final status remains."
"CHECK","CLASS-007","PASS","","","","Non-inverted rows using inverted-row source: 0"
"CHECK","CLASS-008","PASS","","","","Push-ups using bench/incline EMG source: 0"
"CHECK","CLASS-009","PASS","","","","Smash test remains DIRECT with app-internal marker limitation."
"CHECK","CLASS-010","NEEDS_NORMALIZATION","","","","Rows with placeholder tokens in seed-candidate fields: 85"
"CHECK","CLASS-011","PASS","","","","Blank finalSourceStatus rows (56) are prior accepted/non-source-review rows and require deterministic backfill in the candidate generator."
"CHECK","CLASS-012","PASS","","","","Seed-candidate and audit-only fields can be separated."
"FIELD_COMPLETENESS","","","stableKey","0","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","exerciseName","0","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","currentActivityKind","0","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","currentPlanningEligibility","0","6","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","movementFamily","0","28","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","movementSubtype","27","67","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","programSlot","0","22","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","redundancyGroup","0","23","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","progressMetricType","0","5","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","strengthProgressionGroup","158","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","analysisEligibility","0","19","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","primaryStressProfile","146","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","secondaryStressTags","146","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","tendonStressTags","146","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","ligamentJointStabilityStressTags","146","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","jointImpactStressTags","146","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","recoveryDecayProfile","146","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","stressMagnitudeHint","146","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","badmintonTransferLevel","183","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","badmintonTransferType","183","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","badmintonSkillTargets","183","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","badmintonPhysicalQualities","183","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","sourceConfidenceLevel","56","0","Seed candidate normalization audit."
"FIELD_COMPLETENESS","","","finalSourceStatus","56","0","Seed candidate normalization audit."
