slot,beforeCandidates,afterCandidates,delta,beforeStrong,afterStrong,beforeNameFallback,afterNameFallback,afterStrength
"LOWER_SQUAT_PATTERN","24","24","0","24","24","0","0","ADEQUATE"
"HIP_HINGE_POSTERIOR_CHAIN","15","17","2","15","15","0","0","ADEQUATE"
"UPPER_PULL_ANCHOR","24","24","0","24","24","0","0","ADEQUATE"
"UPPER_PUSH_SUPPORT","14","14","0","12","12","0","0","ADEQUATE"
"SINGLE_LEG_STRENGTH_CONTROL","59","60","1","7","7","0","0","ADEQUATE"
"TRUNK_ANTI_ROTATION_STABILITY","51","70","19","10","12","0","0","ADEQUATE"
"SCAPULAR_SHOULDER_SUPPORT","58","64","6","6","7","0","0","ADEQUATE"
"CALF_ANKLE_CAPACITY","24","24","0","5","5","0","0","ADEQUATE"
"BADMINTON_DECEL_COD","34","34","0","8","8","0","0","ADEQUATE"
"BADMINTON_FOOTWORK_REACTION","19","19","0","18","18","0","0","ADEQUATE"
"ATHLETIC_OVERHEAD_PRESS_SUPPORT","14","14","0","14","14","0","0","ADEQUATE"
"ROTATIONAL_KINETIC_CHAIN","2","18","16","2","17","0","0","ADEQUATE"
"FOREARM_GRIP_ELBOW_SUPPORT","48","59","11","9","9","0","0","ADEQUATE"
"OVERHEAD_SMASH_SUPPORT","0","0","0","0","0","0","0","ZERO"
"POWER_REACTIVE_LOW_VOLUME","34","36","2","14","16","0","0","ADEQUATE"
"RECOVERY_PREHAB_LIGHT","10","11","1","1","1","0","0","WEAK"
"ACCESSORY_ROTATION","100","100","0","39","39","0","0","ADEQUATE"
